Champions des Feuersturms, Champions of the Firestorm, Champions de la Tempête de feu, fire
Eiseskalte Geister, Frostbitten Spirits, Esprits gelés, death
Das Juwel von Brevane, The Jewel of Brevane, Le Joyau de Tynandra, unknown
Auge um Auge, An Eye for an Eye, Œil pour œil..., death
Der Fluch, The Blight, Le Fléau, death
Die Silberne Armee, The Silver Army, L\'Armée d\'airain, air
Verstrickt, Entangled, Enchevêtré, life
Die Hexenstunde, The Witching Hour, L\'heure de la sorcière, life
Ein Sturm zieht auf, Storm Rising, La Tempête gronde (Legacy), unknown
Gier erfüllt die Schlucht, Greed in the Gorge, Cupidité dans les Gorges, earth
Visionen einer vergangenen Zukunft, Visions of Future Past, Visions du futur révolu, death
Güldenglut, Golden Embers, Braises dorées, fire
Aus der Grube, From the Pit, De la Fosse, fire
Wüstenwind, Desert Wind, Le Vent du désert, air
Scharmützel im Moor, Skirmish in the Moor, Escarmouche à Mornelande, unknown
Tanz der Knochen, The Bone Dance, La danse des os, death
Fressrausch, Feeding Frenzy, Boulimie frénétique, life
Feuer der Wiedergeburt, Fires of Rebirth, Flammes de la renaissance , fire
Plötzlicher Schwarm, Sudden Swarm, Essaim soudain, earth
Die Ebbe des Flutenfürsten, The Ebb of the Tidelord, Le flux des Seigneurs des Marées, water
Sand-Verehrung, Sand Worship, Vénérer le sable, earth
Wogen des Wahnsinns, Waves of Madness, Vagues de folie, water
Kain erhebt sich, Raising Kain, L\'élévation de Kain, death
Höllisches Erwachen, Infernal Awakening, Éveil infernal, fire
Systematische Zerstörung, Systematic Deconstruction, Déconstruction systématique, earth
Inselsturm, Island Storm, Orage insulaire, air
Hammer und Flamme, Hammer and Flame, Marteau et flamme, fire
Schlurferhorden, Shambling Hordes, Hordes peu vivaces, death
Feuer des Leidens, Fires of Suffering, Feux de la souffrance, fire
Scharmützel im Sand, Skirmish in the Sands, Escarmouche des sables, unknown
Geheimnisse der Tiefe, Secrets of the Deep, Secrets des profondeurs, water
Gefahr im Gebirge, Run to the Hills, Fuir vers les collines, water
Das Leben einer Sumpfmutter, Life of a Bog Mother, La vie d\'une Mère des marais, life
Kalt bis auf die Knochen, Chilled to the Bone, Glacé jusqu\'aux os, death
Die Schlacht von Kap Jul, The Battle of Cape Jule, La bataille de Cap Yule, air
Runengebundene Technologie, Runebound Technology, Technologie runique, death
Geißel des Sandes, Scourge of the Sands, Fléau des sables, earth
Festungsverteidigung: Phase Eins, Fortress Defense: Phase One, Défense de la forteresse : Phase 1, air
Stöcke und Steine, Sticks and Stones, Bâtons et pierres, earth
Prinz der Erde, Prince of Earth, Prince de la Terre, earth
Waldkönig, Forest King, Roi de la forêt, life
Scharmützel auf den Gipfeln, Skirmish in the Peak, Escarmouche au Pic du Pin de Fer, unknown
Festungsverteidigung: Phase Drei, Fortress Defense: Phase Three, Défense de la forteresse : Phase 3, air
Ebenenfrost, Planar Chill, Frisson planaire, air
Die Hand des Todes, The Hand of Death, La Main de la Mort, death
Leben und sterben lassen, Live and Let Die, Vivre et laisser mourir, death
Die Feuerprobe, The Crucible, Le Creuset, fire
Geschmiedet im Zorn, Forged in Rage, Forgé dans la fureur, fire
Gebirgsflut, Mountain Flood, Raz-de-marée dans la montagne, water
Die ungebärdige Seuche, The Wild Plague, Le fléau sauvage, death
Feuriges Hufeklappern, Fiery Hoofsteps, Sabotage du plan centaure, fire
Der Weg der Todesfeen, Where the Death Fae Go, Là où vont les fées de la Mort, death
Der Stich des Sandes, Sting of the Sand, Le dard du sable, earth
Geflügelter Schrecken, Winged Horror, Horreur ailée, death
Doppelte Gefahr, Double Danger, Double danger, death
Das Handwerk des Krieges, The Craft of Conflict, L\'Art du Conflit, life
Rückkehr der Gefallenen, Return Of The Fallen, Le retour des déchus, death
Armee des Windes, Army of the Wind, L\'Armée du Vent, air
Schlacht der Waldlande, Battle of the Woodlands, La bataille des bois, life
Fleischungetüm, Flesh Monstrosity, Monstruosité de chair, death
Unwahrscheinliche Bündnisse, Unlikely Alliances, Alliances improbables, fire
Auf der Jagd, On the Hunt, En chasse, life
Seelensammlung, Gathering of Souls, Rassemblement d’âmes, death
Schlangen-Sturm, Serpent Storm, Le serpent de la Tempête, air
Schrecken von oben, Terror Above, Terreur dans le ciel, fire
Das Feld der Schreie, Field Of Screams, Champ de hurlements, death
Ungeladene Gäste, Party Crashers, Trouble-fêtes, unknown
Im Griff des Goldes, In Golden\'s Grasp, Dans la poigne d\'Or, earth
Herabsinkende Nacht, Descending Night, Tombée de la nuit, death
Lady im See, Lady in the Lake, Dame du lac, water
Die Saat der Veränderung, The Seed of Change, La graine de la prophétie, life
Operation: Land in Sicht, Operation: Landfall, Opération : Débarquement, air
Himmelsschrecken, Terror of the Sky, La Terreur du ciel, air
Todesranken, Deathly Tendrils, Vrilles mortelles, death
Erschütterte Erde, Shattered Earth, Terre fracassée, earth
Die Rettung von Laternenhaken, Saving Lantern Hook, Sauver Saillant de Lanterne, fire
Die Schneemeute, The Snow Pack, La Meute des neiges, water
Gefürchteter Ritter, Dreaded Knight, Chevalier de terreur, death
Nehmt das alles zurück!, Take It All Back!, Reprenez tout !, unknown
Hexe des Westens, Witch of the West, Sorcière de l\'Ouest, life
Untoten-Bürde, Undead Burden, Fardeau mort-vivant, death
Der Marsch der Steinarmee, March of the Stone Army, La marche de l\'Armée de pierre, earth
Die Glut von Silberwald, The Embers of Silverwood, Les braises de Bois d\'Argent, fire
Steinkalte Eindringlinge, Stone Cold Invaders, Des envahisseurs glacés, air
Überfall der Bäume, Arboreal Assault, Attaque arboricole, life
Der Marsch der Gedlo, March of the Gedlo, La marche des Gedlo, fire
Träume aus Blut und Gebeinen, Dreams of Blood and Bone, Rêves de sang et d\'os, life
Die erdrückende Tiefe, The Crushing Deep, Les Profondeurs écrasantes, water
Kreuzzug gegen das Haus Aelfwar, Crusade Against House Aelfwar, Croisade contre la Maison Aelfwar, life
Sonderbare Botschaft, Strange Tidings, Étranges nouvelles, death
Die Sumpfbrut von Gorodon, The Bogspawn of Gorodon, Les marécageux de Gorodon, life
Aus den Tiefen, From the Deeps, Dans les Profondeurs, fire
Die Himmelsbestien, The Sky Beasts, Les Bêtes du ciel, air
Wind und Flügel, Wind and Wings, Le vent et les ailes, air
Marsch der Verrotteten, Rotten March, Marche pourrie, death
Kampf um Freimark, Battle for Freemarch, La bataille de Libremarche, death
Harte Schläge, Hard Knocks, Coups durs, life
Die Läuterung von Dämmerscheid, The Purging of Gloamwood Pines, La purification des Pins du Bois du Crépuscule, death
Festungsverteidigung: Phase Zwei, Fortress Defense: Phase Two, Défense de la forteresse : Phase 2, air
Der Brennende Dragoner, The Burning Dragonian, Draconien enflammé, fire
Ithkus\' Aufstieg, Ithkus\' Rise, L\'ascension d\'Ithkus, water
Explosives Leben, Explosive Life, Vie explosive, life
Experimente in Steinfeld, Experiments in Stonefield, Expériences dans le Champ de Pierre, earth
Der Waldbrand, The Forest Fire, Le Feu de forêt, fire
Der Steintitan, The Stone Titan, Le Titan de pierre, earth
Der Fall des Hammers, Fall of the Hammer, La chute du Marteau, water
Marsch der Legion, March Of The Legion, La marche de la Légion, air
Royaler Raubzug, A Royal Raid, Un raid royal, earth
Jagd: Omen des Schreckens, Hunt: Portents of Terror, Chasse : Présages de la terreur, death
Schwarm des Jahrhunderts, Swarm of the Century, L\'essaim du siècle, earth
Jagd: Krabbelträume, Hunt: Scuttled Dreams, Chasse : Des rêves en éclats, water
Fragment von Kaaz\'Ra, Fragment of Kaaz\'Ra, L\'Archange de Kaaz\'Ra, unknown
Kritische Masse, Critical Mass, Masse critique, earth
Tugend des Nachdrucks, Virtue of Vehemence, Vertueuse véhémence, fire
Überall Dornen, Thorns Everywhere, Des épines partout, life
Das Erwachen, The Awakening, L\'Éveil, life
Warum so traurig?, Why So Sad?, Pourquoi cet air triste ?, life
Innerer Mahlstrom, Inner Maelstrom, Le maelström intérieur, air
